,,,INJURIES_DIRECT,INJURIES_DIRECT,DEATHS_DIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_PROPERTY
,,,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum
STATE,EVENT_TYPE,YEAR,,,,,,,,
ALABAMA,Hail,1999,0,0,0,0,0,0,48,7490560.0
ALABAMA,Hail,2000,0,0,0,0,0,0,81,10623620.0
ALABAMA,Hail,2001,0,0,0,0,0,0,43,9682620.0
ALABAMA,Hail,2002,0,0,0,0,0,0,56,311071560.0
ALABAMA,Hail,2003,0,0,0,0,0,0,81,38506060.0
ALABAMA,Hail,2004,0,0,0,0,0,0,30,2295750.0
ALABAMA,Hail,2005,0,0,0,0,0,0,118,21882430.0
ALABAMA,Hail,2006,0,0,0,0,0,0,110,35009620.0
ALABAMA,Hail,2007,0,0,0,0,0,0,51,73023310.0
ALABAMA,Hail,2008,0,0,0,0,0,0,71,12290840.0
ALABAMA,Hail,2009,1,1,0,0,0,0,76,15629500.0
ALABAMA,Hail,2010,0,0,0,0,0,0,32,26492530.0
ALABAMA,Hail,2011,0,0,0,0,0,0,81,53318030.0
ALABAMA,Hail,2012,0,0,0,0,0,0,82,9963740.0
ALABAMA,Hail,2013,0,0,0,0,0,0,22,6620280.0
ALABAMA,Hail,2014,0,0,0,0,0,0,24,11663250.0
ALABAMA,Hail,2015,0,0,0,0,0,0,21,3461250.0
ALABAMA,Hail,2016,0,0,0,0,0,0,9,355280.0
ALABAMA,Hail,2017,0,0,0,0,0,0,58,10981930.0
ALABAMA,Hail,2018,0,0,0,0,0,0,21,1483280.0
ALABAMA,Hail,2019,0,0,0,0,0,0,17,663060.0
ALABAMA,Hail,2020,0,0,0,0,0,0,15,8085090.0
ALABAMA,Hail,2021,0,0,0,0,0,0,28,6016090.0
ALABAMA,Hail,2022,0,0,0,0,0,0,14,2977780.0
ALABAMA,Heavy Snow,1997,0,0,0,0,0,0,3,525000.0
ALABAMA,Heavy Snow,2001,0,0,0,0,0,0,1,2500000.0
ALABAMA,Heavy Snow,2002,0,0,0,0,0,0,5,102500.0
ALABAMA,Heavy Snow,2006,0,0,0,0,0,0,1,2500000.0
ALABAMA,Heavy Snow,2007,0,0,0,0,0,0,1,25000.0
ALABAMA,Heavy Snow,2008,0,0,0,0,0,0,0,0.0
ALABAMA,Heavy Snow,2009,0,0,0,0,0,0,2,50000.0
ALABAMA,Heavy Snow,2010,0,0,0,0,1,2,9,877500.0
ALABAMA,Heavy Snow,2011,0,0,0,0,0,0,10,402560.0
ALABAMA,Heavy Snow,2013,0,0,0,0,0,0,2,27500.0
ALABAMA,Heavy Snow,2014,0,0,0,0,0,0,3,52500.0
ALABAMA,Heavy Snow,2015,0,0,0,0,0,0,3,50250.0
ALABAMA,Heavy Snow,2016,0,0,0,0,0,0,1,250.0
ALABAMA,Heavy Snow,2017,0,0,0,0,0,0,0,0.0
ALABAMA,Heavy Snow,2021,0,0,0,0,0,0,4,302500.0
ALABAMA,Heavy Snow,2022,0,0,0,0,0,0,4,25027750.0
ALABAMA,High Wind,1996,0,0,0,0,0,0,7,375250.0
ALABAMA,High Wind,1997,0,0,0,0,0,0,2,27500.0
ALABAMA,High Wind,1998,0,0,1,2,0,0,2,27500.0
