STATE,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MAINE,0,0,0,2,2,0,2,1,7,6,1,6,2,7,0,3,2,1,2,1,2,11,2,3,1,2,1,1,2,0,0,1,0,0,1,0,2,0,1,1,0,1,0,2,3,0,1,3,1,1,2,3,3,0,1,3,1,1,0,7,6,5,1,4,4,0,1,7,0,1,2,0,0
MARYLAND,1,0,4,2,2,0,0,0,2,2,2,4,3,2,0,2,2,5,0,2,0,3,1,4,4,10,4,2,9,8,3,2,1,4,5,0,0,0,0,1,10,1,13,6,6,25,22,4,12,3,10,12,15,9,21,0,3,2,8,10,5,29,16,10,3,6,3,4,4,6,20,8,6
MASSACHUSETTS,0,2,0,4,2,4,10,7,12,0,1,3,2,8,5,4,5,1,6,1,8,6,10,3,1,2,1,2,1,2,0,1,0,2,3,1,3,0,0,7,3,1,2,0,0,1,0,8,0,0,1,2,1,0,2,1,1,1,1,0,0,5,1,2,3,2,1,2,7,3,3,6,0
MICHIGAN,0,8,0,20,12,13,34,13,7,2,6,5,5,5,14,28,11,19,21,9,3,9,17,35,43,26,42,35,19,22,19,5,23,21,25,12,30,28,30,19,23,34,21,4,11,11,13,19,24,13,6,42,13,14,24,5,10,27,16,3,27,18,6,14,14,16,16,10,16,8,3,18,4
MINNESOTA,1,4,11,10,7,12,9,16,14,14,7,8,15,7,23,38,24,32,40,30,15,24,5,22,14,14,14,31,28,26,17,46,21,20,30,35,20,23,5,12,13,38,43,13,34,32,34,50,65,40,33,79,37,54,61,76,31,18,49,25,126,38,39,18,28,41,43,71,57,56,64,68,76
MISSISSIPPI,16,9,7,26,19,7,8,34,23,22,8,21,14,10,5,22,38,22,23,33,28,56,36,46,35,42,50,37,19,6,38,7,22,23,21,21,48,48,67,37,25,13,70,11,33,44,30,35,14,50,30,75,34,60,69,120,36,35,126,54,56,136,57,36,51,58,57,86,64,147,115,88,103
MISSOURI,6,6,11,6,40,34,24,48,38,39,39,43,22,16,26,30,40,76,32,26,38,44,14,87,20,21,15,22,10,11,15,37,93,23,43,15,21,6,20,13,33,19,24,23,34,35,29,12,24,47,28,42,30,109,80,40,143,45,108,50,70,93,37,52,51,51,20,91,50,81,21,61,16
MONTANA,0,0,2,5,4,3,0,1,4,3,3,2,10,3,6,9,2,0,1,2,1,8,4,2,0,10,2,6,13,5,7,3,3,4,5,2,4,1,20,6,6,30,9,5,6,15,8,9,11,22,10,11,12,6,7,11,1,5,2,4,10,9,2,6,8,3,6,1,10,4,3,1,2
NEBRASKA,6,9,11,49,19,34,36,55,55,45,43,12,44,17,46,48,10,41,21,20,14,52,30,19,36,80,26,75,51,22,51,19,37,16,52,55,57,26,23,41,103,67,77,21,54,26,60,31,67,106,65,70,29,82,116,40,23,51,66,41,38,56,47,51,74,29,46,35,33,36,23,56,29
NEVADA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,1,1,0,2,1,2,0,2,0,2,0,0,1,1,2,0,1,8,4,3,1,2,4,1,2,1,1,2,8,1,2,1,1,3,5,1,1,0,0,2,0,1,2,0,6,1,0,2,4,1,0,1,0
NEW HAMPSHIRE,0,1,0,2,1,1,2,1,0,1,1,4,2,9,1,3,4,1,4,2,4,0,8,2,1,0,2,0,3,0,1,1,0,0,4,0,4,0,1,0,0,1,0,1,1,1,0,2,1,5,0,0,0,0,1,0,2,0,5,0,1,2,2,0,2,1,1,0,5,0,2,0,2
NEW JERSEY,0,1,4,0,0,1,4,1,4,0,6,0,3,0,6,0,0,1,0,0,2,3,0,8,2,3,1,2,0,2,1,3,1,1,0,3,1,9,6,17,8,1,4,2,7,4,2,2,3,2,0,2,0,7,2,0,1,0,0,1,1,2,1,3,0,0,2,2,0,10,4,13,2
NEW MEXICO,2,2,0,0,8,1,4,17,7,16,6,11,12,8,11,14,16,8,2,10,11,12,18,2,6,3,2,8,3,13,3,8,7,3,1,5,2,15,10,17,16,31,24,2,13,12,16,11,7,8,5,5,3,7,11,7,5,25,11,4,12,2,6,2,14,6,9,13,11,19,6,16,1
NEW YORK,0,0,1,0,2,1,1,1,3,3,4,5,1,3,1,5,1,2,2,9,4,5,6,6,5,4,8,5,8,3,4,3,3,10,6,8,10,6,6,18,16,10,25,11,12,6,11,6,23,1,5,3,14,18,9,4,9,4,2,11,14,23,10,8,12,2,2,12,13,4,12,12,4
NORTH CAROLINA,9,4,7,5,9,6,10,13,4,11,10,8,3,11,15,11,8,8,6,10,2,5,4,41,23,38,23,31,15,12,14,12,13,16,35,8,17,4,24,26,18,29,41,11,13,26,57,11,66,38,24,13,11,36,70,23,31,14,65,34,28,82,24,10,37,9,17,41,38,51,50,21,19
NORTH DAKOTA,2,2,11,10,4,12,14,13,9,11,16,2,9,5,11,43,29,16,7,7,12,16,9,10,26,17,52,33,35,25,31,15,19,26,15,32,30,22,28,12,25,17,16,5,25,13,25,31,28,65,36,50,18,32,50,57,25,45,35,31,66,62,9,16,15,32,23,33,29,15,22,15,13
OHIO,3,3,2,8,13,6,10,4,12,10,7,20,4,19,9,39,3,6,20,21,23,15,10,55,25,12,12,24,22,4,37,27,10,10,2,27,27,6,0,19,32,9,63,5,9,8,10,15,26,22,27,9,34,13,9,4,37,13,15,13,51,40,15,37,21,7,26,44,19,58,24,33,32
OKLAHOMA,25,45,25,56,61,77,56,118,44,72,112,87,67,34,58,81,37,52,56,31,58,41,33,85,55,34,31,57,23,59,28,85,105,96,60,37,50,23,18,20,40,79,72,51,24,79,80,59,95,171,46,70,23,88,65,28,28,58,85,39,123,143,71,96,16,129,71,97,54,171,41,68,45
OREGON,0,1,0,0,1,0,0,2,0,0,1,0,1,0,0,1,3,3,2,1,1,1,1,1,1,3,0,0,1,0,0,0,0,3,4,0,0,0,0,2,0,5,1,1,2,4,4,14,3,1,3,4,2,2,7,1,4,2,0,5,2,1,0,3,0,1,4,3,3,4,2,0,2
PENNSYLVANIA,6,4,7,6,22,3,6,8,2,0,3,7,4,4,6,4,4,3,5,2,12,4,3,12,7,15,24,13,18,14,20,17,4,21,11,53,7,6,6,14,19,22,31,6,22,6,32,14,62,9,6,14,18,9,26,11,8,7,5,8,20,32,12,9,10,12,9,34,33,37,10,50,7
PUERTO RICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,2,0,0,1
RHODE ISLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,3,0
SOUTH CAROLINA,1,1,3,4,1,7,6,9,5,4,4,13,10,11,21,19,10,11,8,11,1,4,6,28,11,12,14,12,8,8,11,11,9,13,20,9,1,2,2,20,14,10,14,11,40,52,24,18,44,18,21,14,14,20,89,14,40,19,64,19,25,20,11,10,7,8,5,49,18,25,75,25,29
SOUTH DAKOTA,1,2,5,12,16,14,12,20,1,11,9,14,39,9,33,64,30,27,21,30,31,47,31,28,14,32,4,28,28,32,53,20,33,26,34,60,35,34,5,5,12,34,42,22,34,10,46,30,30,45,18,32,13,86,35,19,30,45,27,34,42,19,11,14,30,27,13,15,19,26,23,21,39
TENNESSEE,3,1,26,17,2,16,9,18,2,3,2,3,1,14,7,12,6,15,14,2,17,20,12,24,57,13,11,15,9,7,18,8,8,6,33,10,7,1,14,13,10,9,8,12,27,36,19,38,39,25,27,14,31,47,18,24,32,10,56,46,39,125,33,54,20,26,12,40,32,24,41,97,6
TEXAS,20,15,13,33,84,110,56,154,75,87,77,126,143,82,78,110,77,232,139,131,136,193,145,152,118,117,186,127,141,169,170,183,230,190,94,94,138,135,92,166,163,200,203,113,183,229,138,196,123,179,154,142,183,167,185,109,117,216,124,132,113,110,121,84,47,258,106,186,58,184,92,103,102
UTAH,0,0,0,2,1,3,0,1,0,0,0,1,1,1,1,5,2,2,4,3,5,1,0,0,0,0,0,0,0,0,0,2,3,0,6,0,4,3,1,6,4,5,4,5,0,2,3,1,7,3,5,5,4,2,0,4,2,1,0,4,2,1,1,1,0,2,3,2,2,0,0,4,1
VERMONT,0,0,0,1,0,2,0,2,0,0,2,3,5,1,0,1,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,1,0,1,2
VIRGIN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VIRGINIA,0,5,3,6,5,1,4,4,1,12,5,4,8,1,2,3,6,3,2,7,4,2,2,6,11,24,9,12,6,11,6,5,1,14,6,4,8,5,6,9,17,2,5,25,2,10,26,11,15,13,12,18,8,32,94,24,18,2,47,17,10,60,11,5,14,7,14,31,33,25,16,11,19
WASHINGTON,0,0,0,0,1,0,1,3,2,0,0,0,1,0,3,2,1,0,0,1,2,3,4,0,0,0,0,0,5,2,2,2,2,4,2,2,2,2,0,1,1,2,1,1,2,0,1,14,0,2,3,2,0,2,9,4,2,0,3,6,2,2,0,2,3,2,4,2,1,2,2,2,2
WEST VIRGINIA,1,1,0,0,3,0,1,1,0,1,0,2,1,1,1,4,2,5,1,3,4,1,1,1,8,5,1,2,3,4,7,3,2,0,0,1,2,0,0,4,5,1,1,0,2,0,3,1,17,1,4,1,1,2,4,0,0,1,3,0,2,1,4,0,11,3,8,4,1,2,0,2,2
WISCONSIN,6,7,1,9,13,9,7,13,21,32,11,10,9,10,37,23,24,33,22,30,31,38,23,19,18,8,16,23,13,32,47,22,18,33,43,21,14,16,37,17,10,13,27,5,27,6,23,15,25,11,21,15,26,16,43,70,16,21,45,17,53,51,4,24,23,21,16,28,35,32,21,46,23
WYOMING,3,0,1,7,2,4,2,3,13,4,7,4,18,2,7,8,4,8,9,6,0,7,4,6,10,9,24,13,21,42,15,4,16,4,19,7,10,13,13,10,29,23,10,6,7,8,6,26,16,21,5,17,9,4,6,7,1,5,19,11,20,7,4,8,13,8,2,11,24,22,4,1,1
